tryNum,worker_0,worker_1,worker_2,worker_3,worker_4,worker_5,worker_6,worker_7,worker_8,worker_9,worker_10,worker_11,worker_12,worker_13,worker_14,worker_15,worker_16,worker_17,worker_18,worker_19,worker_20,worker_21,worker_22,worker_23,worker_24,worker_25,worker_26,worker_27,worker_28,worker_29,worker_30,worker_31,worker_32,worker_33,worker_34,worker_35,worker_36,worker_37,worker_38,worker_39,worker_40,worker_41,worker_42,worker_43,worker_44,worker_45,worker_46,worker_47,worker_48,worker_49
11,-81.53846153846153,-86.36363636363636,-57.14285714285714,-87.87878787878788,-66.66666666666666,200,-60,-29.411764705882355,-62.5,-83.33333333333334,-78.57142857142857,-84.21052631578947,-68.42105263157895,-74.46808510638297,-73.91304347826086,-50,-78.57142857142857,-85,-63.63636363636363,-80.32786885245902,-85.88235294117646,-82.85714285714286,-77.35849056603774,71.42857142857143,-84.4155844155844,-80,-83.78378378378379,-72.72727272727273,-70.73170731707317,-64.70588235294117,-77.35849056603774,-76.92307692307693,-86.81318681318682,-85.18518518518519,-47.82608695652174,-76.92307692307693,-25,-53.84615384615385,-64.70588235294117,-70,-52,-87.75510204081633,-87.62886597938144,-86.36363636363636,50,300,-82.35294117647058,-57.14285714285714,-52.38095238095239,0
12,-80,-85.22727272727273,-53.57142857142857,-86.86868686868688,-63.888888888888886,225,-56.666666666666664,-23.52941176470588,-59.375,-81.94444444444444,-76.78571428571429,-82.89473684210526,-65.78947368421053,-72.3404255319149,-71.73913043478261,-45.83333333333333,-76.78571428571429,-83.75,-60.60606060606061,-78.68852459016394,-84.70588235294117,-81.42857142857143,-75.47169811320755,85.71428571428571,-83.11688311688312,-78.33333333333333,-82.43243243243244,-70.45454545454545,-68.29268292682927,-61.76470588235294,-75.47169811320755,-75,-85.71428571428571,-83.9506172839506,-43.47826086956522,-75,-18.75,-50,-61.76470588235294,-67.5,-48,-86.73469387755102,-86.5979381443299,-85.22727272727273,62.5,333.33333333333337,-80.88235294117648,-53.57142857142857,-47.61904761904761,12.5
13,-78.46153846153847,-84.0909090909091,-50,-85.85858585858585,-61.111111111111114,250,-53.333333333333336,-17.647058823529413,-56.25,-80.55555555555556,-75,-81.57894736842105,-63.1578947368421,-70.2127659574468,-69.56521739130434,-41.66666666666667,-75,-82.5,-57.57575757575758,-77.04918032786885,-83.52941176470588,-80,-73.58490566037736,100,-81.81818181818183,-76.66666666666667,-81.08108108108108,-68.18181818181817,-65.85365853658537,-58.82352941176471,-73.58490566037736,-73.07692307692307,-84.61538461538461,-82.71604938271605,-39.130434782608695,-73.07692307692307,-12.5,-46.15384615384615,-58.82352941176471,-65,-44,-85.71428571428571,-85.56701030927834,-84.0909090909091,75,366.66666666666663,-79.41176470588235,-50,-42.857142857142854,25
14,-76.92307692307693,-82.95454545454545,-46.42857142857143,-84.84848484848484,-58.333333333333336,275,-50,-11.76470588235294,-53.125,-79.16666666666666,-73.21428571428571,-80.26315789473685,-60.526315789473685,-68.08510638297872,-67.3913043478261,-37.5,-73.21428571428571,-81.25,-54.54545454545454,-75.40983606557377,-82.35294117647058,-78.57142857142857,-71.69811320754717,114.28571428571428,-80.51948051948052,-75,-79.72972972972973,-65.9090909090909,-63.41463414634146,-55.88235294117647,-71.69811320754717,-71.15384615384616,-83.51648351648352,-81.48148148148148,-34.78260869565217,-71.15384615384616,-6.25,-42.30769230769231,-55.88235294117647,-62.5,-40,-84.6938775510204,-84.5360824742268,-82.95454545454545,62.5,333.33333333333337,-80.88235294117648,-53.57142857142857,-47.61904761904761,12.5
15,-75.38461538461539,-81.81818181818183,-42.857142857142854,-83.83838383838383,-55.55555555555556,300,-46.666666666666664,-5.88235294117647,-50,-77.77777777777779,-71.42857142857143,-78.94736842105263,-57.89473684210527,-65.95744680851064,-65.21739130434783,-33.33333333333333,-71.42857142857143,-80,-51.515151515151516,-73.77049180327869,-81.17647058823529,-77.14285714285715,-69.81132075471697,128.57142857142858,-79.22077922077922,-73.33333333333333,-78.37837837837837,-63.63636363636363,-60.97560975609756,-52.94117647058824,-69.81132075471697,-69.23076923076923,-82.41758241758241,-80.24691358024691,-30.434782608695656,-69.23076923076923,0,-38.46153846153847,-52.94117647058824,-60,-36,-83.6734693877551,-83.50515463917526,-81.81818181818183,75,366.66666666666663,-79.41176470588235,-50,-52.38095238095239,0
16,-73.84615384615385,-80.68181818181817,-39.285714285714285,-82.82828282828282,-52.77777777777778,325,-43.333333333333336,0,-46.875,-76.38888888888889,-69.64285714285714,-77.63157894736842,-55.26315789473685,-63.829787234042556,-63.04347826086957,-29.166666666666668,-69.64285714285714,-78.75,-48.484848484848484,-72.1311475409836,-80,-75.71428571428571,-67.9245283018868,142.85714285714286,-77.92207792207793,-71.66666666666667,-77.02702702702703,-61.36363636363637,-58.536585365853654,-50,-67.9245283018868,-67.3076923076923,-81.31868131868131,-79.01234567901234,-26.08695652173913,-67.3076923076923,6.25,-34.61538461538461,-50,-57.49999999999999,-32,-82.6530612244898,-82.4742268041237,-80.68181818181817,87.5,400,-77.94117647058823,-46.42857142857143,-47.61904761904761,12.5
17,-72.3076923076923,-79.54545454545455,-35.714285714285715,-81.81818181818183,-50,350,-40,5.88235294117647,-43.75,-75,-67.85714285714286,-76.31578947368422,-52.63157894736842,-61.702127659574465,-60.86956521739131,-25,-67.85714285714286,-77.5,-45.45454545454545,-70.49180327868852,-78.82352941176471,-74.28571428571429,-66.0377358490566,157.14285714285714,-76.62337662337663,-70,-75.67567567567568,-59.09090909090909,-56.09756097560976,-47.05882352941176,-66.0377358490566,-65.38461538461539,-80.21978021978022,-77.77777777777779,-21.73913043478261,-65.38461538461539,12.5,-30.76923076923077,-47.05882352941176,-55.00000000000001,-28.000000000000004,-81.63265306122449,-81.44329896907216,-79.54545454545455,100,433.3333333333333,-76.47058823529412,-42.857142857142854,-42.857142857142854,25
18,-70.76923076923077,-78.4090909090909,-32.142857142857146,-80.8080808080808,-47.22222222222222,375,-36.666666666666664,11.76470588235294,-40.625,-73.61111111111111,-66.07142857142857,-75,-50,-59.57446808510638,-58.69565217391305,-20.833333333333336,-66.07142857142857,-76.25,-42.42424242424242,-68.85245901639344,-77.64705882352942,-72.85714285714285,-64.15094339622641,171.42857142857142,-75.32467532467533,-68.33333333333333,-74.32432432432432,-56.81818181818182,-53.65853658536586,-44.11764705882353,-64.15094339622641,-63.46153846153846,-79.12087912087912,-76.5432098765432,-17.391304347826086,-63.46153846153846,18.75,-26.923076923076923,-44.11764705882353,-52.5,-24,-80.61224489795919,-80.41237113402062,-78.4090909090909,112.5,466.6666666666667,-75,-39.285714285714285,-38.095238095238095,37.5
19,-69.23076923076923,-77.27272727272727,-28.57142857142857,-79.7979797979798,-44.44444444444444,400,-33.33333333333333,17.647058823529413,-37.5,-72.22222222222221,-64.28571428571429,-73.68421052631578,-47.368421052631575,-57.446808510638306,-56.52173913043478,-16.666666666666664,-64.28571428571429,-75,-39.39393939393939,-67.21311475409836,-76.47058823529412,-71.42857142857143,-62.264150943396224,185.71428571428572,-74.02597402597402,-66.66666666666666,-72.97297297297297,-54.54545454545454,-51.21951219512195,-41.17647058823529,-62.264150943396224,-61.53846153846154,-78.02197802197803,-75.30864197530865,-13.043478260869565,-61.53846153846154,25,-23.076923076923077,-41.17647058823529,-50,-20,-79.59183673469387,-79.38144329896907,-77.27272727272727,125,500,-73.52941176470588,-35.714285714285715,-42.857142857142854,25
20,-67.6923076923077,-76.13636363636364,-25,-78.78787878787878,-41.66666666666667,425,-30,23.52941176470588,-34.375,-70.83333333333334,-62.5,-72.36842105263158,-44.73684210526316,-55.319148936170215,-54.347826086956516,-12.5,-62.5,-73.75,-36.36363636363637,-65.57377049180327,-75.29411764705883,-70,-60.37735849056604,200,-72.72727272727273,-65,-71.62162162162163,-52.27272727272727,-48.78048780487805,-38.23529411764706,-60.37735849056604,-59.61538461538461,-76.92307692307693,-74.07407407407408,-8.695652173913043,-59.61538461538461,31.25,-19.230769230769234,-38.23529411764706,-47.5,-16,-78.57142857142857,-78.35051546391753,-76.13636363636364,137.5,466.6666666666667,-73.52941176470588,-35.714285714285715,-42.857142857142854,25
